QUEVEDO || BZRP Music Sessions #52, 827192970, 204, https://i.ytimg.com/vi/A_g3lMcWVy0/sddefault.jpg, https://youtube.com/watch?v=A_g3lMcWVy0, 2022-07-06 00:00:00
VILLANO ANTILLANO || BZRP Music Sessions #51, 112947399, 188, https://i.ytimg.com/vi/wvz97-lNPH8/sddefault.jpg, https://youtube.com/watch?v=wvz97-lNPH8, 2022-06-08 00:00:00
PAULO LONDRA || BZRP Music Sessions #23, 101654971, 258, https://i.ytimg.com/vi/WkgHkrM9fo0/sddefault.jpg, https://youtube.com/watch?v=WkgHkrM9fo0, 2022-04-25 00:00:00
RESIDENTE || BZRP Music Sessions #49, 122479830, 519, https://i.ytimg.com/vi/HO73gUhiYe0/sddefault.jpg, https://youtube.com/watch?v=HO73gUhiYe0, 2022-03-03 00:00:00
TIAGO PZK || BZRP Music Sessions #48, 141716386, 167, https://i.ytimg.com/vi/h7U8TqOVyxc/sddefault.jpg, https://youtube.com/watch?v=h7U8TqOVyxc, 2021-12-28 00:00:00
