MORAD || BZRP Music Sessions #47, 56941493, 178, https://i.ytimg.com/vi/FsF3o9XNcN8/sddefault.jpg, https://youtube.com/watch?v=FsF3o9XNcN8, 2021-12-08 00:00:00
ANUEL AA || BZRP Music Sessions #46, 52540711, 201, https://i.ytimg.com/vi/O5Vd-I1gd7Y/sddefault.jpg, https://youtube.com/watch?v=O5Vd-I1gd7Y, 2021-11-03 00:00:00
PTAZETA || BZRP Music Sessions #45, 85906516, 166, https://i.ytimg.com/vi/yLX87IkvT8I/sddefault.jpg, https://youtube.com/watch?v=yLX87IkvT8I, 2021-10-06 00:00:00
MHD || BZRP Music Sessions #44, 24201450, 179, https://i.ytimg.com/vi/of_3rje8oKA/sddefault.jpg, https://youtube.com/watch?v=of_3rje8oKA, 2021-09-15 00:00:00
Chucky73 || BZRP Music Sessions #43, 41894551, 145, https://i.ytimg.com/vi/r63YPAW2G9M/sddefault.jpg, https://youtube.com/watch?v=r63YPAW2G9M, 2021-08-25 00:00:00
